EPOCH: 1 	 Exit@1: 16.6700 	 Exit@2: 20.4900 	 Exit@3: 22.1500 	Exit@main : 23.9000 	 Max_main: 23.9000 	 Epo_main: 1 	Exit@_Fusion : 24.0480 	 Max_Fusion: 24.0480 
EPOCH: 2 	 Exit@1: 27.3080 	 Exit@2: 30.1700 	 Exit@3: 33.0840 	Exit@main : 35.5020 	 Max_main: 35.5020 	 Epo_main: 2 	Exit@_Fusion : 35.9540 	 Max_Fusion: 35.9540 
EPOCH: 3 	 Exit@1: 32.1580 	 Exit@2: 35.2160 	 Exit@3: 38.0820 	Exit@main : 40.1580 	 Max_main: 40.1580 	 Epo_main: 3 	Exit@_Fusion : 41.2840 	 Max_Fusion: 41.2840 
EPOCH: 4 	 Exit@1: 32.7800 	 Exit@2: 37.1920 	 Exit@3: 40.1520 	Exit@main : 42.1340 	 Max_main: 42.1340 	 Epo_main: 4 	Exit@_Fusion : 43.2860 	 Max_Fusion: 43.2860 
EPOCH: 5 	 Exit@1: 35.7120 	 Exit@2: 38.2640 	 Exit@3: 41.7580 	Exit@main : 43.4720 	 Max_main: 43.4720 	 Epo_main: 5 	Exit@_Fusion : 45.3800 	 Max_Fusion: 45.3800 
EPOCH: 6 	 Exit@1: 36.5900 	 Exit@2: 41.2660 	 Exit@3: 43.7320 	Exit@main : 45.2860 	 Max_main: 45.2860 	 Epo_main: 6 	Exit@_Fusion : 47.7460 	 Max_Fusion: 47.7460 
EPOCH: 7 	 Exit@1: 37.5060 	 Exit@2: 40.7040 	 Exit@3: 43.4960 	Exit@main : 44.9640 	 Max_main: 45.2860 	 Epo_main: 6 	Exit@_Fusion : 47.4280 	 Max_Fusion: 47.7460 
EPOCH: 8 	 Exit@1: 40.4880 	 Exit@2: 44.0580 	 Exit@3: 46.4560 	Exit@main : 48.7160 	 Max_main: 48.7160 	 Epo_main: 8 	Exit@_Fusion : 51.2740 	 Max_Fusion: 51.2740 
EPOCH: 9 	 Exit@1: 37.9000 	 Exit@2: 43.2100 	 Exit@3: 47.0820 	Exit@main : 48.5480 	 Max_main: 48.7160 	 Epo_main: 8 	Exit@_Fusion : 50.6800 	 Max_Fusion: 51.2740 
EPOCH: 10 	 Exit@1: 40.2340 	 Exit@2: 41.6040 	 Exit@3: 45.7340 	Exit@main : 47.1920 	 Max_main: 48.7160 	 Epo_main: 8 	Exit@_Fusion : 50.3580 	 Max_Fusion: 51.2740 
EPOCH: 11 	 Exit@1: 38.3180 	 Exit@2: 41.2180 	 Exit@3: 45.1380 	Exit@main : 46.6000 	 Max_main: 48.7160 	 Epo_main: 8 	Exit@_Fusion : 49.2760 	 Max_Fusion: 51.2740 
