EPOCH: 1 	 Exit@1: 9.8400 	 Exit@2: 12.4900 	 Exit@3: 12.3000 	Exit@main : 12.4600 	 Max_main: 12.4600 	 Epo_main: 1 	Exit@_Fusion : 14.2200 	 Max_Fusion: 14.2200 
EPOCH: 2 	 Exit@1: 17.2600 	 Exit@2: 23.3400 	 Exit@3: 23.0400 	Exit@main : 23.2200 	 Max_main: 23.2200 	 Epo_main: 2 	Exit@_Fusion : 25.1400 	 Max_Fusion: 25.1400 
EPOCH: 3 	 Exit@1: 28.3400 	 Exit@2: 36.7200 	 Exit@3: 34.9600 	Exit@main : 35.5000 	 Max_main: 35.5000 	 Epo_main: 3 	Exit@_Fusion : 39.0500 	 Max_Fusion: 39.0500 
EPOCH: 4 	 Exit@1: 33.0200 	 Exit@2: 34.2200 	 Exit@3: 35.9800 	Exit@main : 36.3900 	 Max_main: 36.3900 	 Epo_main: 4 	Exit@_Fusion : 38.1900 	 Max_Fusion: 39.0500 
EPOCH: 5 	 Exit@1: 38.3000 	 Exit@2: 43.4000 	 Exit@3: 45.4200 	Exit@main : 45.5300 	 Max_main: 45.5300 	 Epo_main: 5 	Exit@_Fusion : 47.5600 	 Max_Fusion: 47.5600 
EPOCH: 6 	 Exit@1: 42.4300 	 Exit@2: 46.3100 	 Exit@3: 48.5000 	Exit@main : 48.5900 	 Max_main: 48.5900 	 Epo_main: 6 	Exit@_Fusion : 50.4600 	 Max_Fusion: 50.4600 
EPOCH: 7 	 Exit@1: 38.4300 	 Exit@2: 43.2400 	 Exit@3: 44.5500 	Exit@main : 45.4700 	 Max_main: 48.5900 	 Epo_main: 6 	Exit@_Fusion : 47.0700 	 Max_Fusion: 50.4600 
EPOCH: 8 	 Exit@1: 46.3400 	 Exit@2: 49.3500 	 Exit@3: 49.2500 	Exit@main : 48.8800 	 Max_main: 48.8800 	 Epo_main: 8 	Exit@_Fusion : 52.9200 	 Max_Fusion: 52.9200 
EPOCH: 9 	 Exit@1: 47.7300 	 Exit@2: 49.7200 	 Exit@3: 53.4800 	Exit@main : 53.9000 	 Max_main: 53.9000 	 Epo_main: 9 	Exit@_Fusion : 55.3400 	 Max_Fusion: 55.3400 
EPOCH: 10 	 Exit@1: 45.1200 	 Exit@2: 53.2600 	 Exit@3: 52.2100 	Exit@main : 52.3500 	 Max_main: 53.9000 	 Epo_main: 9 	Exit@_Fusion : 56.3200 	 Max_Fusion: 56.3200 
EPOCH: 11 	 Exit@1: 47.7700 	 Exit@2: 48.9200 	 Exit@3: 50.2800 	Exit@main : 49.6000 	 Max_main: 53.9000 	 Epo_main: 9 	Exit@_Fusion : 54.2700 	 Max_Fusion: 56.3200 
EPOCH: 12 	 Exit@1: 45.0300 	 Exit@2: 48.0400 	 Exit@3: 51.4900 	Exit@main : 50.8900 	 Max_main: 53.9000 	 Epo_main: 9 	Exit@_Fusion : 53.2500 	 Max_Fusion: 56.3200 
EPOCH: 13 	 Exit@1: 51.9300 	 Exit@2: 54.9200 	 Exit@3: 54.8400 	Exit@main : 54.5000 	 Max_main: 54.5000 	 Epo_main: 13 	Exit@_Fusion : 58.9500 	 Max_Fusion: 58.9500 
