EPOCH: 1 	 Exit@1: 8.9200 	 Exit@2: 11.3200 	 Exit@3: 12.9200 	Exit@main : 14.7200 	 Max_main: 14.7200 	 Epo_main: 1 	Exit@_Fusion : 15.1800 	 Max_Fusion: 15.1800 
EPOCH: 2 	 Exit@1: 17.8000 	 Exit@2: 24.2400 	 Exit@3: 26.0800 	Exit@main : 26.9100 	 Max_main: 26.9100 	 Epo_main: 2 	Exit@_Fusion : 27.9400 	 Max_Fusion: 27.9400 
EPOCH: 3 	 Exit@1: 25.5200 	 Exit@2: 34.0600 	 Exit@3: 35.3000 	Exit@main : 36.6400 	 Max_main: 36.6400 	 Epo_main: 3 	Exit@_Fusion : 38.3500 	 Max_Fusion: 38.3500 
EPOCH: 4 	 Exit@1: 34.0200 	 Exit@2: 41.5600 	 Exit@3: 43.2200 	Exit@main : 45.0800 	 Max_main: 45.0800 	 Epo_main: 4 	Exit@_Fusion : 45.7800 	 Max_Fusion: 45.7800 
EPOCH: 5 	 Exit@1: 38.3400 	 Exit@2: 45.3400 	 Exit@3: 48.1500 	Exit@main : 50.2800 	 Max_main: 50.2800 	 Epo_main: 5 	Exit@_Fusion : 50.6800 	 Max_Fusion: 50.6800 
EPOCH: 6 	 Exit@1: 35.8800 	 Exit@2: 43.8200 	 Exit@3: 47.4900 	Exit@main : 48.9800 	 Max_main: 50.2800 	 Epo_main: 5 	Exit@_Fusion : 48.8800 	 Max_Fusion: 50.6800 
EPOCH: 7 	 Exit@1: 44.6700 	 Exit@2: 48.6700 	 Exit@3: 50.4200 	Exit@main : 51.7600 	 Max_main: 51.7600 	 Epo_main: 7 	Exit@_Fusion : 52.7900 	 Max_Fusion: 52.7900 
EPOCH: 8 	 Exit@1: 43.7900 	 Exit@2: 43.2500 	 Exit@3: 51.2600 	Exit@main : 53.1200 	 Max_main: 53.1200 	 Epo_main: 8 	Exit@_Fusion : 53.2100 	 Max_Fusion: 53.2100 
EPOCH: 9 	 Exit@1: 46.5200 	 Exit@2: 51.2200 	 Exit@3: 56.3100 	Exit@main : 57.0800 	 Max_main: 57.0800 	 Epo_main: 9 	Exit@_Fusion : 57.8500 	 Max_Fusion: 57.8500 
EPOCH: 10 	 Exit@1: 47.9700 	 Exit@2: 51.1800 	 Exit@3: 56.4800 	Exit@main : 56.9100 	 Max_main: 57.0800 	 Epo_main: 9 	Exit@_Fusion : 57.6800 	 Max_Fusion: 57.8500 
EPOCH: 11 	 Exit@1: 48.4800 	 Exit@2: 50.5700 	 Exit@3: 55.8800 	Exit@main : 56.4900 	 Max_main: 57.0800 	 Epo_main: 9 	Exit@_Fusion : 57.2800 	 Max_Fusion: 57.8500 
EPOCH: 12 	 Exit@1: 40.8400 	 Exit@2: 54.5900 	 Exit@3: 56.6800 	Exit@main : 57.0600 	 Max_main: 57.0800 	 Epo_main: 9 	Exit@_Fusion : 58.5800 	 Max_Fusion: 58.5800 
