EPOCH: 1 	 Exit@1: 13.3500 	 Exit@2: 13.6900 	 Exit@3: 12.3600 	Exit@main : 7.0400 	 Max_main: 7.0400 	 Epo_main: 1 	Exit@_Fusion : 14.2400 	 Max_Fusion: 14.2400 
EPOCH: 2 	 Exit@1: 21.8300 	 Exit@2: 22.1500 	 Exit@3: 21.0300 	Exit@main : 15.1900 	 Max_main: 15.1900 	 Epo_main: 2 	Exit@_Fusion : 23.2400 	 Max_Fusion: 23.2400 
EPOCH: 3 	 Exit@1: 23.2600 	 Exit@2: 22.3800 	 Exit@3: 21.6100 	Exit@main : 17.2800 	 Max_main: 17.2800 	 Epo_main: 3 	Exit@_Fusion : 24.2800 	 Max_Fusion: 24.2800 
EPOCH: 4 	 Exit@1: 29.1700 	 Exit@2: 29.0700 	 Exit@3: 28.9600 	Exit@main : 25.3700 	 Max_main: 25.3700 	 Epo_main: 4 	Exit@_Fusion : 30.3700 	 Max_Fusion: 30.3700 
EPOCH: 5 	 Exit@1: 34.1400 	 Exit@2: 39.4200 	 Exit@3: 38.3700 	Exit@main : 33.4800 	 Max_main: 33.4800 	 Epo_main: 5 	Exit@_Fusion : 39.0200 	 Max_Fusion: 39.0200 
EPOCH: 6 	 Exit@1: 33.9500 	 Exit@2: 38.6800 	 Exit@3: 38.2900 	Exit@main : 34.9900 	 Max_main: 34.9900 	 Epo_main: 6 	Exit@_Fusion : 39.3200 	 Max_Fusion: 39.3200 
EPOCH: 7 	 Exit@1: 42.8700 	 Exit@2: 42.6300 	 Exit@3: 43.8000 	Exit@main : 40.3900 	 Max_main: 40.3900 	 Epo_main: 7 	Exit@_Fusion : 46.0400 	 Max_Fusion: 46.0400 
EPOCH: 8 	 Exit@1: 38.5300 	 Exit@2: 44.2800 	 Exit@3: 44.2800 	Exit@main : 42.0600 	 Max_main: 42.0600 	 Epo_main: 8 	Exit@_Fusion : 45.3900 	 Max_Fusion: 46.0400 
EPOCH: 9 	 Exit@1: 44.4100 	 Exit@2: 48.8000 	 Exit@3: 47.8700 	Exit@main : 45.3100 	 Max_main: 45.3100 	 Epo_main: 9 	Exit@_Fusion : 50.4000 	 Max_Fusion: 50.4000 
EPOCH: 10 	 Exit@1: 45.3200 	 Exit@2: 44.4300 	 Exit@3: 43.5500 	Exit@main : 41.4100 	 Max_main: 45.3100 	 Epo_main: 9 	Exit@_Fusion : 46.5500 	 Max_Fusion: 50.4000 
EPOCH: 11 	 Exit@1: 45.9000 	 Exit@2: 48.3400 	 Exit@3: 47.7200 	Exit@main : 45.4500 	 Max_main: 45.4500 	 Epo_main: 11 	Exit@_Fusion : 50.1300 	 Max_Fusion: 50.4000 
EPOCH: 12 	 Exit@1: 44.1000 	 Exit@2: 47.2100 	 Exit@3: 47.9900 	Exit@main : 45.4100 	 Max_main: 45.4500 	 Epo_main: 11 	Exit@_Fusion : 49.5100 	 Max_Fusion: 50.4000 
EPOCH: 13 	 Exit@1: 43.7700 	 Exit@2: 46.1300 	 Exit@3: 46.3300 	Exit@main : 44.6400 	 Max_main: 45.4500 	 Epo_main: 11 	Exit@_Fusion : 48.3500 	 Max_Fusion: 50.4000 
EPOCH: 14 	 Exit@1: 42.2900 	 Exit@2: 44.1600 	 Exit@3: 44.8300 	Exit@main : 43.1000 	 Max_main: 45.4500 	 Epo_main: 11 	Exit@_Fusion : 47.1600 	 Max_Fusion: 50.4000 
EPOCH: 15 	 Exit@1: 47.1500 	 Exit@2: 48.9900 	 Exit@3: 49.9200 	Exit@main : 48.2600 	 Max_main: 48.2600 	 Epo_main: 15 	Exit@_Fusion : 51.8600 	 Max_Fusion: 51.8600 
EPOCH: 16 	 Exit@1: 45.7300 	 Exit@2: 50.0700 	 Exit@3: 51.1500 	Exit@main : 48.5600 	 Max_main: 48.5600 	 Epo_main: 16 	Exit@_Fusion : 51.8800 	 Max_Fusion: 51.8800 
EPOCH: 17 	 Exit@1: 44.6500 	 Exit@2: 47.5100 	 Exit@3: 47.1600 	Exit@main : 46.0700 	 Max_main: 48.5600 	 Epo_main: 16 	Exit@_Fusion : 50.2400 	 Max_Fusion: 51.8800 
EPOCH: 18 	 Exit@1: 49.3700 	 Exit@2: 50.0500 	 Exit@3: 49.8500 	Exit@main : 48.4700 	 Max_main: 48.5600 	 Epo_main: 16 	Exit@_Fusion : 52.4100 	 Max_Fusion: 52.4100 
EPOCH: 19 	 Exit@1: 48.9200 	 Exit@2: 50.4000 	 Exit@3: 50.4000 	Exit@main : 49.0900 	 Max_main: 49.0900 	 Epo_main: 19 	Exit@_Fusion : 52.7700 	 Max_Fusion: 52.7700 
EPOCH: 20 	 Exit@1: 50.7600 	 Exit@2: 49.6300 	 Exit@3: 50.4100 	Exit@main : 48.7600 	 Max_main: 49.0900 	 Epo_main: 19 	Exit@_Fusion : 52.9400 	 Max_Fusion: 52.9400 
EPOCH: 21 	 Exit@1: 47.7500 	 Exit@2: 47.8200 	 Exit@3: 48.6400 	Exit@main : 46.9700 	 Max_main: 49.0900 	 Epo_main: 19 	Exit@_Fusion : 50.7600 	 Max_Fusion: 52.9400 
EPOCH: 22 	 Exit@1: 39.9100 	 Exit@2: 45.0200 	 Exit@3: 46.2300 	Exit@main : 45.9900 	 Max_main: 49.0900 	 Epo_main: 19 	Exit@_Fusion : 46.9500 	 Max_Fusion: 52.9400 
EPOCH: 23 	 Exit@1: 51.0900 	 Exit@2: 53.3300 	 Exit@3: 53.6000 	Exit@main : 52.5900 	 Max_main: 52.5900 	 Epo_main: 23 	Exit@_Fusion : 56.1300 	 Max_Fusion: 56.1300 
EPOCH: 24 	 Exit@1: 48.5500 	 Exit@2: 51.7500 	 Exit@3: 51.4400 	Exit@main : 50.5700 	 Max_main: 52.5900 	 Epo_main: 23 	Exit@_Fusion : 54.0100 	 Max_Fusion: 56.1300 
EPOCH: 25 	 Exit@1: 49.1900 	 Exit@2: 49.6600 	 Exit@3: 51.3600 	Exit@main : 49.9800 	 Max_main: 52.5900 	 Epo_main: 23 	Exit@_Fusion : 52.9200 	 Max_Fusion: 56.1300 
